Reference, Value, Footprint, Datasheet, Manufacturer, Manufacturer Part #, Vendor, Vendor Part #, Current, DCR
P2,CONN_6,Socket_Strips:Socket_Strip_Angled_1x06,
R4,48,Resistors_SMD:R_0805_HandSoldering,
R3,48,Resistors_SMD:R_0805_HandSoldering,
R2,48,Resistors_SMD:R_0805_HandSoldering,
R1,48,Resistors_SMD:R_0805_HandSoldering,
D4,LED,LEDs:LED-0805,
D3,LED,LEDs:LED-0805,
D2,LED,LEDs:LED-0805,
D1,LED,LEDs:LED-0805,
SW2,SW_PUSH,Discret:SW_PUSH_SMALL,
C1,100NF,Capacitors_SMD:C_0805_HandSoldering,
C2,100NF,Capacitors_SMD:C_0805_HandSoldering,
FB1,Ferrite,SMD_Packages:SMD-1206,,Value,Value,Value,Value,0.25A,100mO
P4,TERM_BLOCK_2.54MM_5POS,Socket_Strips:Socket_Strip_Straight_1x05,
P5,TERM_BLOCK_2.54MM_5POS,Socket_Strips:Socket_Strip_Straight_1x05,
P3,TERM_BLOCK_2.54MM_8POS,Socket_Strips:Socket_Strip_Straight_1x08,
P1,TERM_BLOCK_2.54MM_2POS,Socket_Strips:Socket_Strip_Straight_1x02,
U2,LM1084IS-3.3/NOPB,SMD_Packages:DPAK-3,
C14,10uF,Capacitors_SMD:C_0805_HandSoldering,
C11,10uF,Capacitors_SMD:C_0805_HandSoldering,
D6,LED,LEDs:LED-0805,
R7,48,Resistors_SMD:R_0805_HandSoldering,
U3,LM1084IS-5.0/NOPB,SMD_Packages:DPAK-3,
C12,10uF,Capacitors_SMD:C_0805_HandSoldering,
C13,10uF,Capacitors_SMD:C_0805_HandSoldering,
R8,10K,Resistors_SMD:R_0805_HandSoldering,
Q2,BSS138DW,Housings_SOT-23_SOT-143_TSOT-6:SC70-6_Handsoldering,
R9,10K,Resistors_SMD:R_0805_HandSoldering,
R10,10K,Resistors_SMD:R_0805_HandSoldering,
Q4,BSS138DW,Housings_SOT-23_SOT-143_TSOT-6:SC70-6_Handsoldering,
R11,10K,Resistors_SMD:R_0805_HandSoldering,
P6,TERM_BLOCK_2.54MM_2POS,Socket_Strips:Socket_Strip_Straight_1x02,
P7,TERM_BLOCK_2.54MM_8POS,Socket_Strips:Socket_Strip_Straight_1x08,
Q1,DMN2041LSD,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
Q3,DMN2041LSD,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
SW3,SW_PUSH,Discret:SW_PUSH_SMALL,
C7,100nF,Capacitors_SMD:C_0805_HandSoldering,
JP1,JUMPER,SMD_Packages:SMD-0805,
R5,10K,Resistors_SMD:R_0805_HandSoldering,
C6,100nF,Capacitors_SMD:C_0805_HandSoldering,
C8,100nF,Capacitors_SMD:C_0805_HandSoldering,
C9,100nF,Capacitors_SMD:C_0805_HandSoldering,
C10,100nF,Capacitors_SMD:C_0805_HandSoldering,
C5,4.7uF,Capacitors_SMD:C_0805_HandSoldering,
U1,STM32F411RE_LQFP64,Housings_QFP:TQFP-64_10x10mm_Pitch0.5mm,
U5,HMC5883L,PQFN:PQFN50P300X300-16N-EXTENDED,
U4,MS5611,SON:SON125P500X300-8N,
U6,L3G4200D,PQFN:PQFN65P400X400-16N-EXTENDED,
C4,4.6uF,Capacitors_SMD:C_0805_HandSoldering,
C3,.22uF,Capacitors_SMD:C_0805_HandSoldering,
C16,.47uF,Capacitors_SMD:C_0805_HandSoldering,
C15,.01uF,Capacitors_SMD:C_0805_HandSoldering,
R6,10K,Resistors_SMD:R_0805_HandSoldering,
